City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,0,PF,1574783068,73,-9.8,-139.03,78.94,13.78
1,dikson,100,RU,1574783068,96,73.51,80.55,1.62,4.23
2,punta alta,90,AR,1574783069,100,-27.46,-55.82,73.4,5.82
3,chara,20,GR,1574783069,76,39.42,22.43,59.0,5.82
4,salalah,40,OM,1574783069,69,17.01,54.1,80.6,3.36
5,new norfolk,95,AU,1574783069,85,-42.78,147.06,50.0,11.41
6,husavik,97,CA,1574783069,97,50.56,-96.99,28.99,3.2
7,qaanaaq,64,GL,1574783070,92,77.48,-69.36,2.44,4.27
8,cabedelo,75,BR,1574783070,58,-6.97,-34.84,87.8,11.41
9,albany,40,US,1574783031,65,42.65,-73.75,48.99,12.75
10,unai,100,BR,1574783070,74,-16.36,-46.91,77.16,7.65
11,lavrentiya,95,RU,1574783071,73,65.58,-170.99,31.93,27.29
12,khandyga,99,RU,1574783071,98,62.65,135.58,-41.22,1.41
13,cape town,0,ZA,1574782823,64,-33.93,18.42,71.6,17.22
14,bathsheba,40,BB,1574783071,74,13.22,-59.52,86.0,24.16
15,tongren,100,CN,1574783071,93,27.72,109.18,37.24,4.05
16,tilichiki,99,RU,1574783072,81,60.47,166.1,7.61,17.07
17,yellowknife,20,CA,1574782985,84,62.45,-114.38,1.99,8.05
18,kapaa,75,US,1574783072,83,22.08,-159.32,78.8,8.05
19,labuhan,74,ID,1574783072,79,-2.54,115.51,76.77,1.41
20,chokurdakh,96,RU,1574783072,100,70.62,147.9,-33.81,2.98
21,vaini,68,IN,1574783073,64,15.34,74.49,69.8,4.7
22,vrangel,100,RU,1574783073,57,42.73,133.08,42.01,32.14
23,port elizabeth,1,US,1574783073,71,39.31,-74.98,57.99,5.82
24,contamana,83,PE,1574783073,43,-7.35,-75.01,92.48,5.21
25,pelym,100,RU,1574783073,90,61.01,62.0,13.68,5.66
26,upernavik,100,GL,1574783073,98,72.79,-56.15,31.12,10.63
27,kavaratti,23,IN,1574783055,71,10.57,72.64,84.0,6.02
28,rikitea,61,PF,1574783074,76,-23.12,-134.97,73.2,12.17
29,castro,75,CL,1574783074,76,-42.48,-73.76,51.8,13.87
30,barrow,61,AR,1574783074,20,-38.31,-60.23,74.23,18.88
31,havelock,20,US,1574783074,67,34.88,-76.9,66.0,2.3
32,shambu,29,ET,1574783075,94,9.57,37.1,58.91,2.15
33,jamestown,0,AU,1574783075,53,-33.21,138.6,48.56,9.75
34,norman wells,40,CA,1574783075,83,65.28,-126.83,-14.8,2.24
35,lishui,100,CN,1574783075,81,28.45,119.91,50.2,2.28
36,hofn,15,IS,1574783075,50,64.25,-15.21,33.8,5.82
37,doctor juan leon mallorquin,100,PY,1574783076,48,-25.4,-55.27,90.59,10.18
38,vila franca do campo,20,PT,1574783077,68,37.72,-25.43,66.2,17.22
39,san quintin,0,PH,1574783078,79,17.54,120.52,72.82,6.55
40,ushuaia,75,AR,1574782922,75,-54.81,-68.31,48.2,17.22
41,yeppoon,0,AU,1574783078,69,-23.13,150.74,75.2,3.36
42,iqaluit,90,CA,1574783078,94,63.75,-68.52,32.0,18.34
43,punta arenas,20,CL,1574783078,50,-53.16,-70.91,51.8,23.04
44,hay river,90,CA,1574783079,92,60.82,-115.79,15.8,10.29
45,bredasdorp,0,ZA,1574783079,53,-34.53,20.04,75.2,14.99
46,boromo,0,BF,1574783079,9,11.74,-2.93,102.06,10.67
47,necochea,33,AR,1574783079,59,-38.55,-58.74,69.01,15.01
48,lumeje,100,AO,1574783079,77,-11.56,20.78,75.15,9.53
49,tuktoyaktuk,90,CA,1574783079,77,69.44,-133.03,3.2,9.17
50,broome,75,GB,1574783080,93,52.47,1.45,55.4,12.75
51,sitka,4,US,1574783080,89,37.17,-99.65,35.01,11.03
52,thompson,90,CA,1574783080,85,55.74,-97.86,19.4,5.82
53,presidente medici,0,BR,1574783081,48,-11.18,-61.9,92.97,8.3
54,kolaras,0,IN,1574783081,46,25.22,77.61,70.59,7.29
55,jinchang,100,CN,1574783081,41,38.52,102.19,22.69,3.67
56,bambous virieux,40,MU,1574783081,88,-20.34,57.76,78.8,6.93
57,kavieng,96,PG,1574783081,72,-2.57,150.8,83.89,6.98
58,vershino-shakhtaminskiy,0,RU,1574783081,86,51.3,117.89,-10.14,3.36
59,saint-pierre,75,FR,1574783082,93,48.95,4.24,53.6,13.87
60,saldanha,74,PT,1574783082,71,41.42,-6.55,58.5,22.15
61,geraldton,90,CA,1574783082,85,49.72,-86.95,21.2,5.82
62,khatanga,100,RU,1574783082,92,71.98,102.47,6.39,14.0
63,kodiak,90,US,1574783083,65,39.95,-94.76,41.0,19.46
64,saint-philippe,40,CA,1574783083,66,45.36,-73.48,48.2,8.05
65,mataura,100,NZ,1574783083,81,-46.19,168.86,61.0,1.99
